text_id,prompt_id,model,generated_text,reference_text,coherence,style,surprise,human_likeness,n_ratings,coherence_norm,style_norm,surprise_norm,human_likeness_norm,distinct_1,rep_uni,self_bleu,H_hum,Creatividad_C
1,1,ChatGPT,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Las líneas, apenas discernibles bajo la pátina del tiempo, parecían oscilar como si aún palpitara en ellas el secreto de geografías olvidadas. El papel, amarillento y quebradizo en los dobleces, exhalaba ese olor seco que sólo conocen las bibliotecas donde la luz entra con sigilo. Me acerqué con recelo, temiendo que el más leve roce de mis dedos deshiciese la urdimbre de aquel misterio. Había en el mapa signos extraños, cruces desvaídas que semejaban tumbas de viento, y en un margen, medio ocultas por una mancha de humedad, unas letras que, a pesar de su trazo incierto, evocaban nombres de puertos remotos. El despacho permanecía en penumbra, apenas iluminado por la lámpara de aceite cuyo cristal velaba de ámbar las sombras. Afuera, la noche golpeaba con lluvia los postigos, como si quisiera advertirme de un peligro inminente. Y sin embargo, más fuerte que el temor, fue el estremecimiento de una llamada antigua: aquella invitación que las cosas olvidadas dirigen a los hombres que aún creen en destinos escritos más allá de la razón. Tomé asiento. El mapa, extendido ante mí, parecía aguardarme desde siglos atrás. Y comprendí, con una claridad repentina, que cada mancha y cada rasgo impreciso no eran errores de la tinta, sino señales trazadas para mis ojos, como si una mano invisible me hubiera escogido para seguir la senda que comenzaba en aquel mismo instante.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",4.0,4.5,4.0,0.5,2,0.75,0.875,0.75,0.5,0.7,0.30000000000000004,0.12851104193048013,0.71875,0.676660843710428
2,1,ChatGPT,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. La luz oblicua de la lámpara se derramaba sobre él como si quisiera rescatar, en vano, las rutas y señales que el tiempo había condenado al olvido. El papel, quebradizo en los dobleces, parecía respirar un polvo secreto, mezcla de mareas antiguas y maderas carcomidas. Me incliné sobre aquel vestigio con una inquietud reverente, como quien descorre un velo funerario. Allí se insinuaban costas desfiguradas, archipiélagos en penumbra, trazos de montañas que apenas conservaban su dignidad en la penumbra amarillenta del pergamino. Un nombre, casi ilegible, se repetía en varios márgenes: Isla de las Ánimas. El silencio de la estancia se hizo más denso. El reloj, en su rincón, parecía haberse detenido para escuchar. Sentí que no era yo quien miraba el mapa, sino el mapa quien me observaba, aguardando. Hubo un temblor en mi mano al rozar las manchas que semejaban mares oscuros; juraría que un olor salino, húmedo y remoto ascendió de la nada, envolviendo el despacho en una fragancia de viajes inconclusos. Supe entonces que ese papel no había llegado allí por casualidad. Era una llamada, una herencia sin firmar, un desafío escrito con la misma tinta que los hombres derraman cuando deciden aventurarse más allá de la cordura.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",3.5,3.5,4.5,0.5,2,0.625,0.625,0.875,0.5,0.705607476635514,0.29439252336448596,0.12781949013209687,0.65625,0.6017357646680673
3,1,DeepSeek-V3,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Don Ignacio, que había permanecido sumido en la lectura de sus legajos, alzó la vista con parsimonia, sus quebrados anteojos de oro descendiendo levemente sobre la afilada arista de su nariz. No recordaba haberlo desplegado allí. La luz mortecina del atardecer se filtraba por los altos ventanales, acariciando los trazos desvaídos de aquel papel consumido por los siglos. Con dedos temblorosos, casi reverentes, siguió la curva de una línea que se perdía en un borrón de humedad, cerca de la marca de un compás. Olía a polvo de archivo y a salitre, como si hubiera viajado por mares inconcebibles antes de arribar a su sobrio refugio de madera y cuero. Distinguó, entonces, una mancha minúscula, una cruz imperfecta trazada con una mano nerviosa al margen del pergamino, junto a unas coordenadas casi ilegibles. Y allí, escrito con una caligrafía menuda y desesperada que le resultó vagamente familiar, un nombre: La Dorada Sombría. Un escalofrío, antiguo y profundo, le recorrió el espinazo. Aquel no era un mapa cualquiera. Era la llave de una obsesión que creía muerta y enterrada, el último jirón de un sueño que había devorado su juventud y ahora, silenciosamente, regresaba para reclamar su deuda.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",4.5,2.5,4.5,0.5,2,0.875,0.375,0.875,0.5,0.6985645933014354,0.3014354066985646,0.09050545177214767,0.65625,0.6774106488106876
4,1,DeepSeek-V3,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Don Ignacio, con los quevedos empañados por el asombro, acercó la lámpara de aceite. Sus dedos temblorosos rozaron el pergamino, sintiendo la aspereza del tiempo y la humedad que había devorado los contornos de tierras olvidadas. No era el trazo firme de los cartógrafos reales, sino la mano nerviosa de quien dibuja lo que no debe ser encontrado. Una mancha púrpura, semejante a vino seco o acaso sangre, desdibujaba una isla en el Mar de los Soplos. Junto a ella, una inscripción casi borrada: Aquí yace el susurro que los hombres callan. El aire en la estancia se hizo espeso, cargado con el olor a polvo y misterio. Por la ventana abierta, la luna bañó el documento con su luz lechosa, y por un instante, juraría don Ignacio que los trazos se movieron, como gusanos de seda, reconfigurándose en una ruta que no estaba allí un momento antes. Una brisa fría, repentina, agitó la llama de la lámpara. El mapa se curvó sobre sí mismo, como si una mano invisible intentara arrugarlo para ocultar su secreto. Don Ignacio contuvo el aliento. Aquel no era un mapa para guiar, sino una advertencia para aquellos que osaran entenderla.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",5.0,4.5,4.5,1.0,2,1.0,0.875,0.875,1.0,0.6778846153846154,0.3221153846153846,0.11682763751177573,0.9375,0.8876921648053372
5,1,Grok 4,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Sus bordes, ajados por el tiempo como las alas de una mariposa marchita, exhalaban un aroma a pergamino envejecido y a salitre de mares olvidados. El profesor Aguirre, con las gafas resbalando por la nariz aquilina, se inclinó sobre la mesa de caoba, donde la luz de la lámpara de gas danzaba como un duende caprichoso, proyectando sombras que serpenteaban por las vetas de la madera. Allí, entre las líneas desvaídas, se revelaban contornos de islas perdidas, bahías susurrantes y rutas trazadas con la audacia de antiguos navegantes. Un símbolo arcano, un dragón enroscado sobre un tesoro, latía en el centro, como si el mapa mismo palpitara con secretos sepultados. Aguirre sintió un escalofrío recorrerle la espina dorsal, cual brisa helada de un océano ignoto. De pronto, un golpe seco en la puerta irrumpió en el silencio, rompiendo el hechizo. Era doña Eulalia, la ama de llaves, con los ojos dilatados por el temor. «Señor, un hombre encapuchado ha dejado esto en el umbral, y ha huido como alma que lleva el diablo», murmuró, extendiendo una nota arrugada. Al desdoblarla, Aguirre leyó con voz trémula: «El mapa conduce al corazón de la eternidad, mas solo el valiente hallará la llave antes que las sombras lo devoren». Fuera, la noche madrileña se cerraba como un manto de terciopelo negro, preñada de promesas y peligros. El profesor, con el pulso acelerado, supo que su destino acababa de desplegarse ante él, tan incierto como las olas que lamían aquellos costas fantasmales.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",4.0,4.0,4.5,0.0,2,0.75,0.75,0.875,0.0,0.6730769230769231,0.32692307692307687,0.09434659839906229,0.59375,0.5975066640862945
6,1,Grok 4,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho, emergiendo de las sombras como un espectro invocado por el polvo del tiempo. Sus trazos caprichosos, velados por manchas que evocaban lágrimas secas de antiguos navegantes, desgranaban contornos de costas ignotas y ríos serpenteantes, impregnados de un aroma a salitre y pergamino chamuscado, cual reliquia exhumada de un cofre sepultado bajo arenas movedizas. Don Ramiro de Alarcón, erudito de cabellos plateados como la niebla matutina en los montes asturianos, se inclinó sobre la madera noble, donde la luz trémula de una bujía proyectaba sombras danzantes, semejantes a dedos espectrales que arañaban los bordes del papel. Sus ojos, hundidos en órbitas de insomnio, se detuvieron en un emblema central: una cruz flamígera, rodeada de glifos arcanos que susurraban promesas de tesoros malditos y ciudades sumergidas en el olvido. Un suspiro escapó de sus labios agrietados, mientras el viento otoñal gemía contra los postigos, trayendo ecos de leyendas andaluzas. ""¿Será este el pergamino que guía al Dorado de los Incas, o mero engaño de un falsario astuto?"", masculló, rozando el mapa con dedos reverentes. De súbito, un aldabonazo resonó en la puerta, cual trueno en cielo sereno. Entró el criado fiel, con el rostro ceniciento y un pliego en la mano temblorosa. ""Amo, un forastero encubierto lo dejó al rayar el alba, jurando que despierta guardianes dormidos en tumbas remotas"". Ramiro desplegó el mensaje, y las palabras en tinta fresca lo urdieron en un tapiz de aventuras: traiciones en palacios venecianos, mares embravecidos y un destino donde la gloria se entretejía con la muerte. Así, en aquel recinto humilde, brotó la semilla de una odisea que el hado había reservado para su pluma errante.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",3.5,2.5,3.5,0.0,2,0.625,0.375,0.625,0.0,0.676056338028169,0.323943661971831,0.07609523168022754,0.40625,0.4429308777301124
7,1,flax-community/gpt-2-spanisH,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie dijo haberlo dejado, pero el papel tenía olor a noche húmeda y a lámparas viejas. El dueño de la casa lo miró sin entender los trazos: eran caminos que iban hacia el borde de algo, quizá del mismo papel. En una esquina había un dibujo de un pez o una firma mal hecha. Intentó seguir una línea con el dedo, pero el mapa parecía moverse, como si respirara. Entonces recordó un viaje que nunca hizo, una isla que solo existía cuando cerraba los ojos. El reloj marcaba las tres, aunque no había reloj en el despacho.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",2.5,3.0,2.0,0.0,2,0.375,0.5,0.25,0.0,0.7706422018348624,0.22935779816513757,0.04864620068258638,0.28125,0.29751265880201705
8,1,flax-community/gpt-2-spanisH,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie dijo haberlo dejado, pero el papel tenía olor a noche húmeda y a lámparas viejas. El dueño de la casa lo miró sin entender los trazos: eran caminos que iban hacia el borde de algo, quizá del mismo papel. En una esquina había un dibujo de un pez o una firma mal hecha. Intentó seguir una línea con el dedo, pero el mapa parecía moverse, como si respirara. Entonces recordó un viaje que nunca hizo, una isla que solo existía cuando cerraba los ojos. El reloj marcaba las tres, aunque no había reloj en el despacho.","Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. Nadie supo decir de dónde provenía ni quién lo había dejado allí, pues la casa permanecía cerrada desde hacía días. Don Esteban, hombre de hábitos severos y mirada inquisitiva, lo contempló con el ceño fruncido, como si aquel pedazo de papel trajese consigo un misterio largamente olvidado. La luz de la tarde, filtrándose entre las cortinas polvorientas, daba a la escena un aire de conspiración. El mapa mostraba contornos de tierras que no figuraban en los atlas modernos, islas de nombres impronunciables y caminos que parecían desvanecerse al tocarlos. En un extremo, una inscripción casi ilegible decía: Lo perdido aguarda al que aún recuerda. Aquella frase despertó en Don Esteban una vieja inquietud, un rumor de juventud que creía enterrado junto con los años de su exploración frustrada. Pasó la noche entera bajo la lámpara de aceite, descifrando trazos, midiendo distancias, y escuchando o creyendo escuchar un rumor leve, como de olas golpeando un muelle remoto. Cuando al fin el sueño lo venció, el mapa reposaba sobre su pecho, y un viento tenue agitaba las cortinas. A la mañana siguiente, los criados hallaron la estancia vacía. Solo quedaba el mapa, extendido sobre la mesa, pero ahora limpio, sin borrones ni tinta: un papel en blanco. Desde entonces, algunos aseguran que en noches de luna baja, se oyen pasos en el despacho, y que una sombra, encorvada y obstinada, sigue buscando la ruta que jamás fue trazada. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",1.5,3.5,2.5,0.0,2,0.125,0.625,0.375,0.0,0.7706422018348624,0.22935779816513757,0.04864620068258638,0.28125,0.22104588626733904
9,1,humano,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",,3.0,3.5,3.5,0.0,2,0.5,0.625,0.625,0.0,0.6460674157303371,0.3539325842696629,0.09310184076953215,0.4375,0.4235198721028221
10,1,humano,"Un antiguo mapa con tinta borroneada apareció en la mesa del despacho. El papel era tan viejo que crujía al tocarlo, y un olor a polvo y a secretos olvidados flotaba en el aire. La ""X"", dibujada con un trazo grueso y urgente, no estaba sobre una isla, sino sobre un punto en medio de un mar sin nombre, en una región que Eloy no reconocía. Las líneas de la costa eran extrañas, como si pertenecieran a un mundo que la geografía moderna había borrado. Intrigado, encendió la lámpara de su escritorio y se acercó más, notando que la tinta, en vez de ser negra, tenía un tinte rojizo, casi como sangre seca. Mientras lo estudiaba, un escalofrío le recorrió la espalda. Las líneas del mapa comenzaron a moverse. No era una ilusión; el mapa se estaba redibujando solo, y la ""X"" se movía lentamente hacia el centro de su ciudad, marcando un lugar que conocía perfectamente: el parque de la plaza principal. La aventura no estaba en un océano distante, sino a la vuelta de la esquina.",,4.5,4.0,4.0,0.5,2,0.875,0.75,0.75,0.5,0.6460674157303371,0.3539325842696629,0.09310184076953215,0.71875,0.7106910261799386
